,Id,predictions
4942,4939,0
2336,17384,0
3010,26382,1
3220,19790,0
3849,24867,0
4610,25179,0
1465,24763,0
1826,12720,0
565,15392,0
57,14391,0
4837,5954,0
2290,13063,0
4246,7276,0
4549,25603,0
933,24497,0
2354,3184,0
183,1573,1
2304,26442,0
4019,16641,0
661,1859,0
4844,20484,0
3455,1868,0
4187,19080,0
2791,15282,0
1712,25079,0
3063,1117,0
1583,4091,0
4991,15401,0
5221,23152,0
4238,23655,0
5070,15356,0
5019,25296,0
127,11892,0
4448,7903,0
2650,7442,0
1523,17682,0
3720,170,0
4705,24530,0
2790,9769,0
2106,9179,0
899,11661,0
3079,24406,0
1896,21026,0
5239,24433,1
4625,10474,1
4356,5428,0
3688,23126,0
2084,20642,1
117,26609,0
3064,2953,0
207,2466,0
3814,4147,0
2128,385,0
5037,10932,0
576,6816,0
5327,10019,0
663,19486,0
718,10598,0
5261,12284,0
4720,22944,0
5331,24983,0
4498,11638,0
122,25651,1
4285,19781,0
1128,5463,0
1882,22170,0
128,11031,0
4346,13609,0
1595,13589,0
3466,13972,0
190,26203,0
1328,24786,0
4955,23276,0
5098,2880,0
4282,9524,1
385,5466,0
2429,6039,0
1951,14550,0
1861,17455,0
2160,15891,0
1312,23485,0
377,10353,0
1053,3547,0
1258,22691,0
3358,10840,0
4783,25554,0
1602,2128,0
3298,18087,0
3825,22633,0
908,11838,0
730,18873,0
2280,15309,0
294,6383,0
3754,24700,0
2872,24585,0
2581,14968,0
4751,12464,0
2185,11379,0
3248,15470,0
4740,2742,0
988,21218,0
4820,3944,0
2124,18709,0
753,9598,0
1408,4678,0
1138,14679,0
2839,5999,0
5126,3987,0
3245,20677,0
1870,14922,0
4450,13382,0
1949,11061,0
2497,4807,0
4903,20480,0
470,6200,0
4328,5924,0
5124,5847,0
270,20795,0
2648,22224,1
4575,25810,0
173,8389,0
2214,14049,0
3907,19660,0
612,15147,0
1841,26585,0
1352,20880,0
1857,25963,0
952,4208,0
3651,22606,0
2705,23543,0
1222,26092,0
3851,21858,0
437,15799,0
1096,10658,0
4622,7076,0
4743,11557,0
1673,21022,0
1106,9378,0
3980,26035,0
3030,294,0
5274,21817,0
2616,21375,0
1637,16206,0
1195,4075,1
160,18233,0
5323,12051,0
3905,21283,0
103,12285,0
4583,21580,0
69,21647,0
2699,9387,0
4843,4964,0
3765,8352,0
213,4248,0
2312,10736,0
1303,102,0
4232,4206,0
2284,23069,0
1773,26515,0
4414,6556,0
2113,1951,0
256,14228,0
517,16435,0
3972,24911,0
4452,22338,0
3677,26345,0
4386,1819,0
2409,23850,0
3402,5908,1
916,22258,0
2249,13485,0
1121,4348,0
4629,709,0
2852,20175,0
1824,9518,0
1853,20303,0
2271,13472,0
655,17280,0
1873,25309,0
2013,81,1
4593,15394,0
2751,1916,0
4979,3124,0
2134,10027,0
1471,9451,0
538,18871,1
175,26184,0
4568,19457,0
5170,12195,1
1452,5522,0
4517,16737,0
1273,18582,0
1821,1412,0
5046,4333,0
3120,8743,0
4054,8172,0
2449,8249,0
769,9665,1
3334,20134,0
1498,5000,0
365,15719,0
3095,7794,0
4752,21337,0
406,24272,0
2003,3376,0
4927,15590,0
319,14946,0
2531,9137,0
3982,5166,0
450,19473,0
5225,8951,0
3887,1789,0
2925,17181,0
1330,24640,0
897,23703,0
4504,20051,0
3013,23092,0
2983,18714,0
4444,9957,0
3348,14392,0
2329,4943,0
221,11662,0
4515,7572,0
1858,5436,0
2320,4271,0
2005,8769,0
5033,6101,0
1448,21363,0
2065,15364,0
28,12188,0
1344,15984,0
3498,10288,0
1109,19366,0
3602,24533,0
4451,22093,0
2035,21783,0
4595,10586,1
2775,19371,0
3951,4554,0
1532,3734,0
1329,3878,0
4499,7023,0
1878,23510,0
1561,11170,0
2737,17730,0
1930,15143,0
3301,16294,0
4265,21178,0
4857,5930,0
2912,2842,0
3826,20924,0
1846,10544,0
4539,2892,0
2245,25711,0
2018,23866,0
1403,4475,0
3068,12353,0
1810,13483,0
895,23200,0
1126,13958,1
2522,7931,0
1932,14860,0
3284,18139,0
3893,24220,0
3803,8260,0
3581,9663,0
248,26285,0
2353,9117,0
3260,19471,0
2338,4410,0
1153,14194,0
1233,437,0
452,6390,0
3563,9660,0
3722,24807,0
4851,17612,0
3000,14562,0
1697,13607,0
1285,26696,0
4526,14857,0
3024,18400,0
4801,21425,0
62,24849,0
489,15850,0
3960,10448,0
4020,13474,0
866,5885,0
3212,25353,0
2586,9578,0
5018,20462,0
4879,25483,0
3125,16143,0
3256,22923,0
3834,3493,0
4637,17939,0
3438,13714,0
4648,12948,0
2092,11070,0
1341,18694,0
145,18021,0
4160,12904,0
2733,24835,0
840,7018,0
1251,10975,0
5230,26195,0
1678,9176,0
1533,22362,1
2264,3375,0
2268,571,0
2038,24460,0
3329,24950,0
5317,23643,0
2381,6280,0
1316,14744,0
813,579,1
3670,22643,0
4658,9331,0
3587,17000,0
306,17743,0
5071,10033,0
3852,1015,0
1054,4686,0
778,10349,1
1924,2032,1
1851,10582,0
994,18016,0
227,21430,0
607,9673,0
2841,11509,0
3679,3078,0
2,20419,0
2935,8528,0
2478,21686,0
5129,12954,0
2456,10653,0
5186,573,0
262,17113,0
3649,8702,0
1649,7493,0
1875,14007,0
3309,2790,0
4477,16430,0
4620,19931,0
5197,11033,0
2019,13071,0
439,3154,0
2252,521,0
363,18671,0
1244,3756,0
770,21019,0
927,10110,0
2348,7414,0
5210,14424,0
2837,4401,0
131,10950,0
3733,2346,0
4862,22245,0
454,1558,0
1655,10099,0
3553,3065,0
3824,2773,0
3808,23608,0
4753,18626,0
490,2014,0
4747,3244,1
1648,9396,0
3627,22408,1
2285,14279,0
3299,12987,0
4673,25932,0
94,24883,1
2709,14999,0
401,24449,0
5283,6626,0
1701,9764,0
4063,3820,0
1214,20615,0
1631,24910,0
473,22796,0
265,14257,0
4615,10063,0
4180,23349,0
4142,25886,0
1243,8728,0
1017,1837,0
159,10875,0
4819,23908,0
3421,7326,1
3038,21274,0
199,4608,0
4112,26500,0
2164,8247,0
2175,17300,0
1723,23444,0
5011,17810,0
1012,940,0
2439,1646,0
4157,16030,0
2434,21578,0
1320,24594,0
1920,5038,0
979,22288,0
750,26239,0
898,25530,0
2362,18158,0
5010,20821,0
4193,21079,0
1838,19641,0
2278,14084,0
1082,19127,0
1897,19013,0
3135,6575,0
2045,19570,0
678,15624,0
2742,9990,0
3170,10208,0
1976,3887,1
5065,10015,0
3655,18213,0
961,3503,0
2946,22943,0
1671,12218,0
2907,24494,0
1458,4938,0
5340,18545,0
4441,21001,1
4776,8698,0
3861,17304,0
4008,13005,0
4600,22023,0
1198,4572,0
121,15258,0
5114,8534,0
740,23541,0
3179,25485,0
2223,11204,0
1623,24493,0
1359,1058,0
889,888,0
2765,18788,0
5171,24762,0
4521,25788,0
3970,8902,1
2848,7433,0
1388,19367,0
581,3606,0
4211,7762,0
1819,6451,0
5199,10056,0
5299,19008,0
4533,16232,0
2102,18832,0
1091,22948,0
1490,6597,0
161,6744,0
4229,15295,0
4404,1301,0
2460,2523,0
5304,5660,0
480,15996,0
1910,2008,0
2672,5096,1
4313,19254,0
4341,22477,0
974,6904,0
2663,9831,0
3153,17379,1
1548,19841,0
2188,20092,0
2794,16922,0
1994,10420,0
1433,17361,0
3682,21329,0
548,26675,0
1441,8308,0
3648,14406,0
3154,3631,0
3605,3838,0
3401,1622,0
1025,6813,0
5252,9290,0
3998,14466,0
3373,12834,0
4577,10255,0
3449,16410,0
2495,14603,0
1670,695,0
1168,21104,0
5127,20080,0
5050,13052,0
4214,25983,0
2218,4735,0
4352,6193,0
3493,12406,0
719,1141,0
559,8852,0
355,24462,0
2729,19416,0
2342,6081,0
4908,11407,0
2324,8101,0
834,10934,0
4536,18220,0
3127,8376,0
3450,6624,0
1210,26065,0
1120,6299,0
3236,20879,0
5066,8742,0
249,7285,0
3462,959,0
2220,15123,0
29,19283,0
3856,24984,0
934,2485,0
4742,22550,0
4558,18808,0
2502,5495,0
4630,18905,0
488,5533,0
2969,11815,0
1375,12036,0
2407,8608,0
414,17685,0
5178,9822,1
2828,1179,0
1022,4361,0
3383,14411,0
738,14404,0
4643,17277,0
880,9949,0
2732,2428,0
2226,12561,0
1444,15066,0
5196,25613,0
4767,14557,1
4576,1699,0
3931,3090,0
2532,18135,0
4825,2326,0
1586,4242,0
5266,25389,0
4935,891,0
5061,20585,0
777,21897,0
1556,13157,0
1364,10831,0
143,6978,0
1941,17852,0
3579,25427,0
3923,10123,0
2902,24880,0
5205,7187,0
260,17580,0
317,16759,0
2420,6220,0
4986,20112,0
2052,14920,0
5338,16044,0
2481,15683,0
3974,15112,0
946,23020,0
1885,687,0
3788,11311,0
2798,11719,0
2656,16379,0
2602,12797,0
1710,15039,0
3541,23582,1
4537,160,0
4727,13546,0
5088,7145,0
1306,23795,0
2782,12447,1
886,21657,0
2392,988,0
1276,4995,0
1517,18494,0
333,26145,0
3561,20857,0
4381,21522,0
3190,22343,0
2681,20780,0
4234,20342,1
3191,19934,0
5204,15875,0
4926,19949,0
4555,12270,0
3521,1436,0
2743,14032,0
2693,24241,0
3801,25844,0
394,26207,0
676,705,0
182,18506,0
786,10643,0
1436,6535,0
61,11157,0
4661,19420,0
808,9984,0
4428,12358,0
80,9709,0
3582,21872,0
4559,26036,0
1355,1431,0
872,22323,0
606,1513,0
4270,26704,0
16,12587,0
2996,1448,0
3234,5234,0
3286,11522,0
1212,3176,0
340,9299,0
2773,5576,0
1239,5917,0
1979,3016,0
4529,4081,0
4818,19805,0
3562,13956,0
3868,24151,0
289,23877,0
675,955,0
419,5906,0
3033,1536,0
3821,817,0
5286,17376,0
595,8678,0
3689,25086,0
4748,132,0
700,15058,0
4114,14489,0
1760,14458,0
3049,19581,0
4932,7169,0
133,11873,0
499,12576,0
2089,25553,0
4277,7396,0
2982,11389,1
4406,20344,0
1999,10965,0
1834,14315,0
714,17825,0
1859,25722,0
24,20999,0
2355,25602,0
3904,13188,0
4901,5769,0
1377,6297,0
3057,20837,0
1963,22528,0
4804,16057,0
1132,18166,0
2036,8904,0
987,18952,0
3659,17622,0
4821,23054,0
894,24221,0
3613,10021,0
2890,24468,0
826,4373,0
4992,5537,0
3804,7943,0
4806,19549,0
577,12581,0
1035,1109,0
1376,26468,0
1687,15273,0
5043,5014,0
2295,24344,0
1785,255,0
449,11881,0
2356,12080,0
3414,21249,0
912,13169,0
3745,25480,1
3877,8679,0
4155,18163,0
2739,7784,0
2779,19816,0
3290,21121,0
1299,15585,0
1152,3806,0
4090,15812,0
4841,10698,0
5107,11875,0
2674,19261,0
2903,6525,0
879,10823,1
2579,15805,1
1570,10877,0
5027,19281,0
890,23277,0
905,2060,0
4677,16332,0
1770,166,0
1904,6343,0
3925,7161,0
4883,16096,0
1816,2916,0
2541,13847,0
5241,198,0
4817,5795,0
4351,21206,0
841,6135,0
2664,7015,1
4823,11872,0
1472,719,0
1043,3453,0
5093,24182,0
300,1120,0
1301,20306,0
2533,13811,0
821,1078,0
4332,17929,0
3074,15547,0
680,22589,0
2537,6189,0
1672,4982,0
3443,9106,1
1559,7533,0
6,24913,0
3799,12274,0
1539,23568,0
5077,11813,0
1234,11572,0
3713,10068,0
3902,17998,0
1518,18131,0
1744,10245,0
3712,16761,0
392,26646,0
4655,7919,0
176,12770,0
242,16231,0
3243,20475,0
2109,13719,0
4731,20,0
2818,655,0
5103,7729,0
3439,13222,0
3699,10612,0
1278,7662,0
2675,18342,0
2244,10140,0
2712,1072,0
166,823,0
155,3215,0
4202,19675,0
4574,11990,0
4736,25338,0
3789,3472,0
5042,9166,0
3271,2288,1
3536,1939,0
4363,20525,0
3017,3412,1
3878,22116,0
4438,8203,0
1615,14779,0
2599,5276,0
1741,19216,0
3094,13662,0
1589,15575,0
2343,13887,0
570,4232,0
2596,436,0
3540,18197,0
5319,5123,0
238,10393,0
3950,4961,0
4892,22525,1
1960,16035,0
869,8233,0
1037,7608,0
2093,9446,0
5150,1279,0
4897,2088,1
4492,22965,0
690,6612,0
1161,971,0
5069,20685,0
436,4259,0
279,18031,0
286,12412,0
3178,608,0
3909,25422,0
2303,22354,0
4388,18962,0
623,10616,0
1156,16421,0
4009,8663,0
1734,8225,0
2302,18974,0
403,23538,0
5267,17256,0
3495,2507,0
2404,9227,0
574,16342,0
5183,17419,0
2934,24870,0
1063,13789,0
384,6864,0
3448,6021,0
4222,19632,0
4401,14397,0
523,26498,0
4344,15639,0
3663,20529,0
1790,5012,0
4275,6137,0
1617,26475,0
2453,23258,0
779,14268,0
5203,10308,0
976,23255,0
3097,2339,0
2592,16605,0
1307,12916,0
4358,9393,0
2567,10702,0
2430,4168,0
2379,22316,0
1854,25388,0
2231,14594,0
1937,2975,0
3451,23870,0
2023,14081,0
3839,2727,0
2242,1779,0
4199,14693,0
354,7771,0
1314,15457,0
56,21431,0
2900,26636,0
433,11992,0
829,3473,0
1451,20182,0
3539,24022,0
798,3363,0
5162,18252,0
1691,20114,0
1158,12075,0
3598,10968,0
3096,6811,0
1409,9976,0
180,12976,0
191,14240,0
5045,1829,0
2642,671,1
648,22769,0
4739,11130,0
4297,16667,0
3603,8272,0
1217,1676,0
587,21626,0
1427,19886,0
2994,24509,0
1487,3879,0
1279,8936,0
3213,23216,0
1410,995,0
477,4383,0
3759,17138,0
3948,759,0
2835,22598,0
2734,16497,0
3360,6072,0
1607,16466,0
1288,8215,0
585,12690,0
4784,21790,0
1494,7200,0
3157,13854,0
4330,19330,0
2608,13196,0
5209,26570,1
4426,7990,0
1513,20069,0
2967,10540,0
3497,9015,0
950,7399,0
5081,1668,0
276,5491,0
4329,21663,0
4264,23609,0
4457,24582,0
601,19135,0
3744,21847,0
2034,16635,0
4915,19307,0
3728,1059,0
2309,7594,0
2763,17828,0
720,15709,0
5257,12334,0
4283,1023,0
3762,5362,0
4333,5633,1
3172,2830,0
5082,9973,0
400,13653,0
3472,22317,0
3943,13707,0
613,24753,0
2146,8459,0
3150,10244,0
329,14850,0
561,23540,0
2267,11826,1
4889,23584,0
1779,6954,0
1282,17751,0
2123,5278,0
1977,2042,0
766,25981,0
188,182,0
3418,7730,0
5211,12002,0
2668,12942,0
3022,26360,0
359,25725,0
2203,4387,1
1078,14469,0
1004,18239,0
3643,1050,1
1317,18020,0
3660,17389,0
4103,23437,0
861,18518,0
5333,12518,0
497,9704,0
2797,10052,0
413,10893,0
703,12043,0
884,24758,0
3758,26005,0
2465,23442,0
4183,12569,0
1720,8767,1
4486,26181,0
4602,15867,0
4057,23772,0
4713,9488,0
469,22725,0
1612,4547,0
4022,21527,0
435,25300,0
4849,23267,0
4855,13493,0
5112,8581,0
4061,4456,0
4001,9689,0
2403,13260,0
44,9431,0
921,7715,0
893,25379,0
5191,18434,0
3347,986,0
1182,18842,0
1807,8944,0
4917,243,0
2334,17040,0
725,11855,0
5290,2661,0
4688,15927,0
4377,238,0
4427,5730,0
2861,23210,0
135,10020,0
4181,24091,0
2168,11371,0
1018,11261,0
1622,23848,0
3690,8795,0
4737,17287,0
1295,13051,0
909,3128,0
1345,24033,0
4468,1461,0
2042,4595,0
3526,20270,0
3016,13705,0
1991,2833,0
1686,22988,0
3100,14947,1
4410,8073,0
2046,19754,0
2687,3656,0
2641,10035,0
1003,1853,0
3042,19990,0
2136,489,0
4102,19280,0
2860,10571,0
3729,6391,1
2345,5231,0
1475,3660,0
3387,5500,0
5016,17121,0
2388,16531,0
634,12764,0
5014,5112,0
3014,679,0
2640,12753,0
314,19344,0
4884,7080,0
3028,18497,0
1353,4135,0
2321,18094,0
4950,9505,0
3963,6881,0
3108,2422,0
3896,9399,0
1889,14429,0
5213,13894,0
5202,3021,0
532,11761,0
3411,7694,0
3979,13531,0
3206,13703,0
4031,5158,0
4465,18403,0
3822,17522,0
2480,4535,0
5314,17286,1
1171,13338,0
1269,14068,0
3514,23613,0
4004,16699,0
4145,10446,0
1248,4870,0
3601,12901,0
22,24334,0
5237,23745,0
1890,19814,0
2387,9281,1
2126,535,0
3426,19563,0
7,5952,0
1069,13275,0
2858,311,0
4793,16059,0
3311,18211,0
3714,22389,0
3704,1647,0
4850,9706,0
3584,18516,0
4098,1339,0
4304,11610,0
1081,24571,0
817,6151,0
579,2757,1
1888,13096,0
259,8937,0
4278,604,0
1009,15515,0
3664,7551,0
2884,7776,0
3407,16570,0
1917,24784,0
5165,3242,0
5111,9282,0
816,24297,0
4923,2359,0
1332,25434,0
3207,11122,0
4580,3677,0
1520,14962,0
2002,9065,1
3144,5413,0
2553,1773,0
2178,980,0
688,5842,0
1780,18041,0
4487,2501,0
1541,17614,0
4249,5372,0
1921,16133,0
1010,24149,0
3769,24855,0
2961,14160,0
1567,18138,0
1238,12848,0
1699,5470,0
39,12438,0
4213,10386,0
3427,17707,0
410,194,1
2660,9715,0
2785,4717,0
5180,4422,0
3396,6772,0
1384,3943,1
4323,17097,0
1982,21528,0
2956,8705,0
2308,1297,0
3173,15245,0
530,21739,0
3748,8496,0
3842,8404,0
1709,5423,0
599,3620,0
1173,22790,0
4035,1175,0
2452,16318,0
2724,2327,0
4167,1583,0
197,11755,0
1426,7845,0
1690,32,0
4495,16862,0
1527,4653,0
1674,2119,0
4100,730,0
4432,23139,0
5094,24215,0
1978,9736,0
298,25,0
578,1330,0
2239,23408,0
1272,23208,0
802,22090,0
3384,6734,0
2623,21093,0
4480,21499,0
2622,21299,0
4039,14872,0
4347,24082,0
4786,23996,0
586,26659,0
3641,3571,0
5246,17951,0
4162,5262,0
1575,16366,0
4442,14334,0
4355,234,0
1789,13252,1
2605,1222,0
4037,11515,0
1468,21700,0
3111,15022,0
4036,5041,0
1706,14005,0
2169,5094,0
5297,8922,0
1485,10414,0
3067,20196,0
2216,23534,1
251,7219,0
553,3096,0
3890,10238,0
1895,12192,0
274,9648,0
2939,21912,0
5169,18437,1
692,3245,0
4190,9929,0
2499,10709,0
315,24895,0
3221,16308,0
2670,25448,0
5235,9942,0
3593,4568,0
2097,23382,0
5063,15523,0
3077,16116,0
3592,20663,0
1197,7468,0
1698,791,0
1543,8553,0
4534,24898,0
101,22836,0
3264,17887,0
1944,16028,0
2140,3198,0
4370,12059,0
4003,23739,0
67,13806,0
1872,594,0
3672,10976,0
3800,1727,0
1833,2079,0
332,26137,1
3440,12355,0
1185,14009,0
4734,2357,0
2326,25714,0
2433,16156,0
3875,21498,0
4045,24434,0
2274,7672,0
2181,18300,0
2815,18439,0
691,6465,0
4640,10073,0
4149,1900,0
3114,17746,0
5293,5083,0
5223,6576,0
5264,8344,0
4049,1445,0
3674,18813,0
3928,7864,0
2813,5454,0
5298,2364,0
4375,1247,0
1283,90,0
2000,19452,0
3076,13982,0
3870,3463,0
4805,9145,0
1601,11809,0
1044,8829,0
4788,3665,0
3133,16224,0
2832,23377,1
3012,9645,0
864,13581,0
1554,13022,0
3187,23129,0
3524,13129,0
3798,21873,0
4391,9545,0
1911,15,0
3647,20415,0
465,14475,0
4070,4488,0
3768,13293,0
2416,15830,0
2394,13387,0
4809,18185,0
3224,7198,0
4865,13947,0
3219,13272,0
4,1921,0
2094,15187,0
5188,6411,0
3312,12623,0
4755,15000,0
3845,13266,0
4307,23822,0
4741,23789,0
2366,24811,0
1133,5251,0
142,26134,0
654,12297,0
800,16572,0
2083,1052,0
178,17501,1
3169,22327,0
3253,17584,0
4449,10236,0
1822,7737,0
2051,6540,0
2626,8522,0
3167,16108,0
202,16863,0
4425,22781,0
775,25862,0
2327,21544,0
2985,22297,0
2426,11823,0
3126,8416,0
3300,20392,0
638,21935,0
4771,12404,0
4177,12630,0
482,12379,1
4769,15802,0
2458,20820,0
3901,5316,0
1287,21572,0
3693,16607,0
4929,21751,0
3483,24093,0
1213,5325,0
407,1611,0
4094,4722,0
4489,13448,0
1030,1525,0
4686,13906,0
1207,20512,0
2933,2950,0
60,11417,0
3203,21569,0
2568,6943,0
3916,4511,0
241,20185,0
1486,23032,0
1618,17668,0
1363,6536,0
5185,7901,0
4243,13416,0
3637,7358,0
2612,6444,0
682,6768,0
4964,9335,0
1555,3341,0
3388,19105,0
4836,8719,0
3139,5044,0
5258,25588,0
4052,22858,0
3501,815,0
3118,25068,0
1566,26136,0
4995,5736,0
2064,2847,0
5073,4530,0
5013,16714,0
4198,14114,0
2154,26701,0
838,1524,1
1562,21098,0
4011,14258,0
964,6020,0
1664,19270,0
773,4494,0
292,22738,0
2507,15479,0
4858,10193,0
2894,3747,0
2498,12622,0
722,8255,0
1695,18902,0
3422,9411,0
839,6119,0
1786,20379,0
1707,21370,0
4509,17289,1
4659,10018,0
41,10866,0
2984,16006,1
903,19900,0
4288,18533,0
3756,4897,0
4538,23364,0
443,18613,0
3420,503,0
1717,11789,0
218,8028,0
2503,13247,0
3110,8942,0
4422,13732,0
4120,3243,0
369,389,0
3070,812,0
843,5482,0
3596,15243,0
4617,17925,0
2411,8655,0
3195,12815,0
3249,4294,0
2789,25671,0
3146,8232,0
2235,3127,0
2395,22566,0
2927,7357,0
1241,7021,0
3192,25266,0
3351,7373,0
767,6026,0
4263,25193,0
4058,3954,0
4408,12311,0
4138,6750,0
4660,5407,0
3335,17068,0
3565,24982,0
2821,26513,0
3092,14814,0
1840,14844,0
2970,17821,0
1006,21372,0
2574,14793,0
1654,19774,0
846,7152,0
2417,25544,0
152,2012,0
3356,18024,0
4604,4782,0
3736,818,0
5270,15414,0
4191,22341,0
1008,15839,0
1537,21565,0
1545,16165,0
2764,5097,0
375,7132,0
3840,25769,0
3680,18433,0
3336,11530,0
3764,26622,0
3991,11098,0
2232,5171,0
1777,15237,0
1893,5345,0
3711,17823,0
2576,3686,0
3757,24095,0
336,13559,0
3996,8609,0
641,22645,0
1825,12730,1
3075,20331,0
1692,23188,0
2781,1934,0
4710,17602,0
3026,18815,0
4395,14485,0
2447,8519,0
4122,22899,0
4399,25209,0
1650,14829,0
507,16074,0
684,25627,0
1679,19456,0
1013,26453,0
1389,16533,0
1966,6929,0
4413,4458,0
4146,15735,0
1534,22083,0
368,12772,0
3477,24144,0
2421,17324,0
2713,10416,0
5176,13,0
1843,15190,0
5101,6719,0
2643,23901,0
3251,1168,0
4663,304,0
2689,20205,0
258,7670,0
4906,20583,0
1140,9047,0
156,17803,1
3661,16929,0
1799,21119,0
2227,10281,0
5157,18142,0
4060,20173,0
3959,12079,0
1955,20447,0
679,22494,0
4872,20736,0
1914,17029,0
3917,9740,0
5147,24598,1
2389,1923,0
3469,10518,0
1478,16828,0
5080,9085,0
4846,5022,0
1726,17576,0
485,20041,0
3059,16881,0
674,19131,0
2799,16798,0
1183,8105,0
3398,13041,0
2078,8618,0
907,15952,0
4553,11304,0
1806,15091,0
2340,6577,0
3954,669,0
4463,5489,0
3161,8295,1
3556,5946,0
4403,21985,0
3867,1124,0
1310,21758,0
3537,1319,0
3507,18790,0
1959,10046,0
4835,17174,1
4958,22191,0
1811,1171,0
791,8326,0
2296,11145,0
4656,8797,0
4273,7464,0
2562,3454,0
1935,10187,1
1703,2845,0
3379,11349,0
3066,2935,0
113,25365,0
2119,10530,0
2187,7908,0
2484,15351,0
2016,17779,0
989,25036,0
3578,960,0
2015,15612,0
2937,10311,0
172,10930,0
709,3156,0
3376,17697,0
3338,17728,0
3216,22436,0
2928,3753,0
4916,5725,0
5054,17669,0
3884,13780,0
1056,23831,0
588,13085,0
1626,24712,0
1768,20228,0
1257,15102,0
2048,7544,0
5295,16990,1
3586,22382,0
2793,5549,0
1793,6523,0
1957,25059,0
504,3233,0
3272,13037,0
1343,6014,0
3985,19853,0
2165,22080,0
4192,9773,0
1529,19741,0
4185,17995,0
4746,143,0
2749,18688,0
1884,14366,0
3499,5237,0
4496,21997,0
4928,24378,0
2472,19864,0
1962,20494,0
1400,6522,0
366,8177,0
3081,7701,0
3773,15718,0
2207,13163,0
4311,11380,0
4693,7862,0
5292,19029,1
484,13692,0
4015,1516,0
1136,10227,0
3047,26688,0
1634,22466,0
2234,7598,0
593,26164,0
1021,15390,0
3432,21452,0
1435,10266,0
3588,9751,0
1000,9373,0
2292,10135,0
5248,9999,0
1746,16105,0
4951,3193,1
